14029,Creme de Cacao,Vodka,,,,,,,,,,,,,,0
15395,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,,0
15423,Lager,Tequila,,,,,,,,,,,,,,0
14588,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,0
15346,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,0
17060,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,0
15288,151 proof rum,Wild Turkey,,,,,,,,,,,,,,0
13899,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,,0
15300,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,0
13581,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,0
14598,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,,0
17105,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,0
13940,Gin,7-Up,Lemon juice,,,,,,,,,,,,,0
14229,Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,,,,0
16108,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,,,,0
15200,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,0
11000,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,,,0
16943,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,0
15675,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,0
11001,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,,,,0
16405,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,,0
14564,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,,,,0
17005,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,,0
11002,Applejack,Grapefruit juice,,,,,,,,,,,,,,0
